date,open,high,low,close,volume
2017-08-17 13:30:00,307.95,312.0,307.0,308.95,1177.71088
2017-08-17 17:30:00,308.95,310.51,303.56,307.06,1882.05267
2017-08-17 21:30:00,307.74,312.18,298.21,301.6,1208.05192
2017-08-18 01:30:00,301.6,310.85,299.01,302.0,1200.94182
2017-08-18 05:30:00,302.0,306.47,295.19,301.4,1690.58319
2017-08-18 09:30:00,301.4,309.49,298.41,306.24,1732.52616
2017-08-18 13:30:00,306.24,311.79,303.22,307.78,1213.01283
2017-08-18 17:30:00,307.78,310.29,296.32,298.8,1358.99471
2017-08-18 21:30:00,298.8,301.11,287.37,293.83,1620.71499
2017-08-19 01:30:00,295.46,295.46,283.94,293.96,1922.01458
2017-08-19 05:30:00,293.31,299.84,292.83,293.22,282.19297
2017-08-19 09:30:00,294.69,299.9,287.01,290.16,235.2921
2017-08-19 13:30:00,290.16,293.17,278.0,282.58,1139.03045
2017-08-19 17:30:00,281.39,290.85,279.56,288.64,288.29994
2017-08-19 21:30:00,288.64,295.0,284.16,293.31,127.38589
2017-08-20 01:30:00,290.6,294.9,288.8,290.91,73.99638
2017-08-20 05:30:00,289.41,292.42,285.96,292.41,68.40092
2017-08-20 09:30:00,287.97,295.56,285.39,292.08,252.26228
2017-08-20 13:30:00,293.02,296.89,282.85,295.0,240.75968
2017-08-20 17:30:00,295.0,296.92,292.28,295.1,67.3647
2017-08-20 21:30:00,295.1,300.53,293.28,297.88,361.56695
2017-08-21 01:30:00,297.87,300.53,294.51,299.1,1519.78418
2017-08-21 05:30:00,299.1,300.9,294.6,299.85,723.80595
2017-08-21 09:30:00,300.03,329.49,299.11,318.5,888.57113
2017-08-21 13:30:00,317.48,333.66,312.6,331.53,207.37686
2017-08-21 17:30:00,331.33,346.52,325.42,334.94,1227.44025
2017-08-21 21:30:00,334.34,342.72,316.82,329.71,1715.07272
2017-08-22 01:30:00,332.27,332.74,316.12,323.29,457.17851
2017-08-22 05:30:00,321.04,330.41,280.0,280.0,809.61524
2017-08-22 09:30:00,144.21,310.24,144.21,300.35,707.47249
2017-08-22 13:30:00,300.35,313.16,296.0,308.03,2176.12505
2017-08-22 17:30:00,311.16,311.24,301.48,308.39,1756.8306
2017-08-22 21:30:00,305.08,320.76,305.08,307.03,1304.2511
2017-08-23 01:30:00,307.03,313.99,305.08,309.8,1202.0564
2017-08-23 05:30:00,312.25,319.78,309.41,317.26,1088.33347
2017-08-23 09:30:00,315.45,324.99,315.35,319.06,1376.06321
2017-08-23 13:30:00,319.06,324.51,318.02,319.2,1285.87403
2017-08-23 17:30:00,319.2,322.0,313.75,319.2,2106.38559
2017-08-23 21:30:00,317.87,322.34,315.53,318.57,1635.49673
2017-08-24 01:30:00,318.57,320.2,312.05,315.74,1173.57266
2017-08-24 05:30:00,315.74,318.45,314.01,315.22,1061.17398
2017-08-24 09:30:00,315.22,322.36,314.31,318.54,1074.07592
2017-08-24 13:30:00,318.54,323.61,316.14,323.61,1670.50319
2017-08-24 17:30:00,322.51,328.04,317.9,321.2,1138.04846
2017-08-24 21:30:00,323.67,325.35,318.97,321.23,909.12592
2017-08-25 01:30:00,321.23,326.33,318.97,323.42,900.34445
2017-08-25 05:30:00,323.42,330.44,323.42,326.55,1406.8485
2017-08-25 09:30:00,326.55,335.0,326.55,330.29,1115.60692
2017-08-25 13:30:00,330.29,335.41,327.4,331.26,1199.42604
2017-08-25 17:30:00,329.68,335.33,328.72,333.15,1961.178
2017-08-25 21:30:00,335.29,338.28,325.42,328.71,751.25954
2017-08-26 01:30:00,329.91,332.27,324.9,327.24,691.65062
2017-08-26 05:30:00,327.24,332.27,323.41,323.46,569.57801
2017-08-26 09:30:00,323.46,329.69,323.41,327.9,1070.6985
2017-08-26 13:30:00,328.45,331.25,326.69,327.89,856.541
2017-08-26 17:30:00,328.25,335.44,324.06,327.0,940.58482
2017-08-26 21:30:00,327.01,334.17,326.7,331.19,803.00095
2017-08-27 01:30:00,332.68,334.17,329.33,330.79,637.28193
2017-08-27 05:30:00,332.18,338.28,330.79,331.62,1056.62234
2017-08-27 09:30:00,334.5,338.29,331.49,332.77,689.1668
